year,tri_facility_id,facility_name,street_address,city,county,state,zip,latitude,longitude,industry_sector,naics_code,chemical,cas_number,carcinogen,unit_of_measure,fugitive_air_releases,stack_air_releases,water_releases,landfill_releases,onsite_release_total,offsite_release_total,total_releases,parent_company
2001,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,2,0,2,13908.8,13910.8,GLOBALFOUNDRIES US INC
2001,05485BSCSCMILLS,WESTROCK CONVERTING LLC,369 MILL ST,SHELDON SPRINGS,FRANKLIN,VT,05485,44.906475,-72.978457,Paper,322130,Lead,7439-92-1,YES,Pounds,0,3.2,0,0,3.2,2,5.2,SMURFIT WESTROCK U.S. HOLDING CO
2001,05491HRCLSPANTO,SIMMONDS PRECISION PRODUCTS INC.,100 PANTON RD,VERGENNES,ADDISON,VT,05491,44.163130,-73.262670,Computers and Electronic Products,334519,Lead compounds,N420,NO,Pounds,0,0,0,0,178.3,178.55,356.85,RAYTHEON TECHNOLOGIES CORP
2001,05641SFTYK23WSE,SAFETY-KLEEN SYSTEMS BARRE (BVT),23 W SECOND ST,BARRE,WASHINGTON,VT,05641,44.206320,-72.515923,Hazardous Waste,562112,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,0,0,CLEAN HARBORS INC
2001,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,0,0.58,0,0,0.58,3953.4,3953.98,GENERAL ELECTRIC CO (GE CO)
2001,05733DWTYLPROSP,NEXUS CUSTOM ELECTRONICS INC,402 PROSPECT ST,BRANDON,RUTLAND,VT,05733,43.805059,-73.091539,Electrical Equipment,335999,Lead compounds,N420,NO,Pounds,0.44,1.11,0,0,1.55,234.04,235.59,NEXUS NANO ELECTRONICS INC
2001,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead compounds,N420,NO,Pounds,0,0.8,0,0,0.8,4200.8,4201.6,GENERAL ELECTRIC CO (GE CO)
2001,05762STNLY3950R,STANLEY TOOLS PITTSFIELD,3950 RTE 100,PITTSFIELD,RUTLAND,VT,05762,43.772818,-72.812987,Fabricated Metals,332212,Lead,7439-92-1,YES,Pounds,0,248,0,0,248,0,248,STANLEY WORKS
2001,05860RLNSDRAILR,ETHAN ALLEN OPERATIONS INC ORLEANS DIV,27 RAILROAD AVE,ORLEANS,ORLEANS,VT,05860,44.807792,-72.204520,Furniture,337122,Lead compounds,N420,NO,Pounds,0,7.8,0,0,7.8,0,7.8,ETHAN ALLEN OPERATIONS INC
2001,05902THNLLMAINS,ETHAN ALLEN OPERATIONS INC BEECHER FALLS DIV,1280 VT RT 253,BEECHER FALLS,ESSEX,VT,05902,45.010741,-71.506558,Furniture,337122,Lead compounds,N420,NO,Pounds,0,11.4,0,0,11.4,0,11.4,ETHAN ALLEN OPERATIONS INC
2001,05904GRGPCRIVER,DIRIGO PAPER CO/DALTON HYDRO LLC,35 RIVERSIDE AVE,GILMAN,ESSEX,VT,05904,44.411751,-71.721272,Paper,322121,Lead compounds,N420,NO,Pounds,0,22,0,0,22,0,22,NA
2002,05101WHTNYINDUS,WHITNEY BLAKE CO,20 INDUSTRIAL DR,BELLOWS FALLS,WINDHAM,VT,05101,43.164891,-72.453573,Electrical Equipment,335129,Lead,7439-92-1,YES,Pounds,0,0.13,0,0,0.13,0,0.13,NA
2002,05201TNSTRWESTR,TANSITOR ELECTRONICS INC,2813 W RD,BENNINGTON,BENNINGTON,VT,05201,42.881093,-73.247022,Computers and Electronic Products,334414,Lead compounds,N420,NO,Pounds,0,0,0,0,0,0,0,VISHAY INTERTECHNOLOGY INC
2002,05257KRNPT441WA,ADC OPTICAL SYSTEMS,441 WATER ST,NORTH BENNINGTON,BENNINGTON,VT,05257,42.923026,-73.245640,Electrical Equipment,335921,Lead compounds,N420,NO,Pounds,0,0,0,0,0,328,328,ADC TELECOMMUNICATIONS INC
2002,05301NTDCRONETE,VERMONT CIRCUITS INC,76 TECHNOLOGY DR,BRATTLEBORO,WINDHAM,VT,05301,42.875939,-72.562989,Computers and Electronic Products,334412,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,5,5,NA
2002,05446CHMPLHERCU,CHAMPLAIN CABLE CORP,175 HERCULES DR,COLCHESTER,CHITTENDEN,VT,05446,44.510721,-73.175691,Electrical Equipment,335929,Lead compounds,N420,NO,Pounds,0,0,0,0,0,21,21,NA
2002,05451CPRNDTHOMP,BELDEN CDT INC ESSEX JUNCTION,26 THOMPSON DR,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.498579,-73.037762,Electrical Equipment,335931,Lead compounds,N420,NO,Pounds,0,0,0,0,0,547,547,BELDEN CDT INC
2002,05452BMXXX1000R,GLOBALFOUNDRIES U.S. 2 LLC - VERMONT FACILITY,1000 RIVER ST,ESSEX JUNCTION,CHITTENDEN,VT,05452,44.478553,-73.102850,Computers and Electronic Products,334413,Lead,7439-92-1,YES,Pounds,0,0,10.72,0,10.72,9207.3,9218.02,GLOBALFOUNDRIES US INC
2002,05485BSCSCMILLS,WESTROCK CONVERTING LLC,369 MILL ST,SHELDON SPRINGS,FRANKLIN,VT,05485,44.906475,-72.978457,Paper,322130,Lead,7439-92-1,YES,Pounds,0,1,0,0,1,1.3,2.3,SMURFIT WESTROCK U.S. HOLDING CO
2002,05491HRCLSPANTO,SIMMONDS PRECISION PRODUCTS INC.,100 PANTON RD,VERGENNES,ADDISON,VT,05491,44.163130,-73.262670,Computers and Electronic Products,334519,Lead compounds,N420,NO,Pounds,0,0,0,0,625,39.05,664.05,RAYTHEON TECHNOLOGIES CORP
2002,05641SFTYK23WSE,SAFETY-KLEEN SYSTEMS BARRE (BVT),23 W SECOND ST,BARRE,WASHINGTON,VT,05641,44.206320,-72.515923,Hazardous Waste,562112,Lead,7439-92-1,YES,Pounds,0,0,0,0,0,0,0,CLEAN HARBORS INC
2002,05701GNRLL210CO,GE AEROSPACE PLANT 1,210 COLUMBIAN AVE,RUTLAND,RUTLAND,VT,05701,43.607180,-72.992093,Transportation Equipment,336412,Lead,7439-92-1,YES,Pounds,12,1.2,5,0,23.2,3778.5,3801.7,GENERAL ELECTRIC CO (GE CO)
2002,05733DWTYLPROSP,NEXUS CUSTOM ELECTRONICS INC,402 PROSPECT ST,BRANDON,RUTLAND,VT,05733,43.805059,-73.091539,Electrical Equipment,335999,Lead compounds,N420,NO,Pounds,0.23,1.11,0,0,1.34,99.9,101.24,NEXUS NANO ELECTRONICS INC
2002,05759GNRLL16WIN,GE AEROSPACE PLANT 2,270 WINDCREST RD,NORTH CLARENDON,RUTLAND,VT,05759,43.577095,-72.961317,Transportation Equipment,336412,Lead compounds,N420,NO,Pounds,0,18,0,0,18,1691,1709,GENERAL ELECTRIC CO (GE CO)
2002,05762STNLY3950R,STANLEY TOOLS PITTSFIELD,3950 RTE 100,PITTSFIELD,RUTLAND,VT,05762,43.772818,-72.812987,Fabricated Metals,332212,Lead,7439-92-1,YES,Pounds,0,222,0,0,222,0,222,STANLEY WORKS
2002,05860RLNSDRAILR,ETHAN ALLEN OPERATIONS INC ORLEANS DIV,27 RAILROAD AVE,ORLEANS,ORLEANS,VT,05860,44.807792,-72.204520,Furniture,337122,Lead compounds,N420,NO,Pounds,0,4.6,0,0,4.6,0,4.6,ETHAN ALLEN OPERATIONS INC
2002,05902THNLLMAINS,ETHAN ALLEN OPERATIONS INC BEECHER FALLS DIV,1280 VT RT 253,BEECHER FALLS,ESSEX,VT,05902,45.010741,-71.506558,Furniture,337122,Lead compounds,N420,NO,Pounds,0,10.57,0,0,10.57,0,10.57,ETHAN ALLEN OPERATIONS INC
